Title,Date,Category,Summary,Image URL
USA and China tie for most gold medals in the 2024 Summer Olympics,2024-08-12,sport,"The USA and China tied for the most gold medals at the 2024 Summer Olympics, each winning 40 golds.  While Team USA led in overall medals with 126, China was ahead in the gold count until the final women's basketball game where Team USA won against France, securing their 40th gold. This resulted in a tie, but China still finished second overall with 91 medals.  This ties the 2021 result where the USA won with 39 golds to China's 38, but this year the USA exceeded their 2021 total medal count by a considerable margin. 
","https://media.cnn.com/api/v1/images/stellar/prod/01-gettyimages-2165112284.jpg?c=16x9&q=w_800,c_fill"
Protecting women from deceitful men or criminalizing break-ups? A new law in India stirs debate,2024-08-12,india,"India's new criminal code includes a provision criminalizing sex with a woman under false pretenses of marriage, punishable by up to 10 years in prison. This law aims to address a prevalent form of sexual exploitation where men exploit women's societal pressures and taboos surrounding premarital sex by promising marriage without intending to follow through. While proponents argue it gives women legal recognition for their experiences and strengthens their position in a patriarchal society, critics question the law's effectiveness in proving deceit and intention, potentially leading to misinterpretations and shifting the burden of proof onto the victim. Some also believe the law is outdated in a changing India where dating norms are evolving, questioning its relevance in consensual relationships. 
","https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-1228288853.jpg?c=16x9&q=w_800,c_fill"
Zelensky confirms Ukrainian troops are fighting inside Russian territory,2024-08-12,world,"Ukrainian President Volodymyr Zelensky has officially confirmed the ongoing Ukrainian incursion into Russia's Kursk region, marking a significant escalation in the conflict. This surprise attack, which has embarrassed the Kremlin and forced the evacuation of tens of thousands of Russians, has seen Ukrainian troops advance up to 30 kilometers into Russian territory. Zelensky justified the incursion as a response to Russian attacks on Ukrainian territory, emphasizing the need for a ""fair response"" to the aggression. Meanwhile, Russia has blamed Ukraine for a fire at the Zaporizhzhia Nuclear Power Plant and continues to launch attacks on Ukrainian cities, including a strike on a supermarket that killed 11 civilians.  
","https://media.cnn.com/api/v1/images/stellar/prod/ap24224307361256.jpg?c=16x9&q=w_800,c_fill"
Fly like Iron Man. Join a battle in Wakanda. Here are the major theme park projects Disney has announced,2024-08-12,travel,"Disney announced a slew of new theme park and cruise projects at its D23 convention, including a villains-themed land, an ""Encanto"" ride, an Iron Man flight experience, and a lifelike audio-animatronic version of Walt Disney himself. These projects represent a $60 billion investment in parks and cruises over the next decade, encompassing expansions at Magic Kingdom, Hollywood Studios, Animal Kingdom, and Disneyland, as well as new attractions at EPCOT and Disney California Adventure. The cruise line will nearly triple its fleet size by 2031, and new Marvel rides are planned for Shanghai and Hong Kong Disney parks. These projects are intended to address recent attendance declines and rekindle excitement among fans, though some may hold off on visits until the projects are completed. 
","https://media.cnn.com/api/v1/images/stellar/prod/image0-20240811005605435.jpg?c=16x9&q=w_800,c_fill"
What it’s like to undergo 15 beauty treatments in just 3 days in South Korea,2024-08-12,style,"Yerim Lee, a New Yorker of Korean descent, recently spent three days in Seoul undergoing 15 beauty treatments, taking advantage of the significantly lower prices compared to the US.  Her experience highlights the rising popularity of minimally-invasive procedures in South Korea, with treatments like Botox, fillers, and skin boosters becoming increasingly common and openly discussed.  Lee's trip exemplifies the growing medical tourism industry in South Korea, with the government actively promoting the country as a destination for cosmetic procedures. While the affordability is attractive, Lee emphasizes the importance of research and choosing reputable clinics, particularly for those unfamiliar with the Korean language and beauty industry practices.  She plans to create a website to help English speakers navigate the K-beauty scene, offering tips and resources for those considering similar journeys. 
","https://media.cnn.com/api/v1/images/stellar/prod/img-8619.jpg?c=16x9&q=w_800,c_fill"
These Pennsylvania voters illustrate Harris’ suburban challenge,2024-08-12,politics,"The article examines the views of suburban voters, particularly those who identify as ""Never Trump"" Republicans, in Pennsylvania, a key battleground state in the 2024 presidential election. These voters, who previously voted for Biden due to their aversion to Trump, are now facing a dilemma as Kamala Harris, a more progressive candidate, is on the Democratic ticket. While they find Trump and his running mate, JD Vance, unacceptable, they also have reservations about Harris, particularly her policies and leadership style. The article highlights the uncertainty and potential for shift in these voters' allegiances, emphasizing that Harris' ability to win over moderate Republicans will be crucial to her success in the race. 
","https://media.cnn.com/api/v1/images/stellar/prod/20241208-alloverthemap-pennsylvania-august.jpg?c=16x9&q=w_800,c_fill"
These Pennsylvania voters illustrate Harris’ suburban challenge,2024-08-12,politics,"This article examines the impact of Kamala Harris's ascendance to the Democratic presidential ticket on suburban voters in Pennsylvania, a key battleground state. The article focuses on ""Never Trump"" Republicans who are wary of Donald Trump but also have concerns about Harris's policies and leadership style. While they are drawn to Harris's energy and the potential for a fresh start, many are hesitant to commit to her, wanting to learn more about her positions on issues like immigration and the economy. The article highlights the suburban shift towards Democrats, which began in the 1980s and has accelerated in recent years, making this group of voters crucial to the outcome of the election. 
","https://media.cnn.com/api/v1/images/stellar/prod/20241208-alloverthemap-pennsylvania-august.jpg?c=16x9&q=w_800,c_fill"
These Pennsylvania voters illustrate Harris’ suburban challenge,2024-08-12,politics,"The article highlights the views of suburban voters, particularly ""Never Trump"" Republicans, in Pennsylvania as they grapple with the 2024 presidential election. While many are disappointed with the Democratic Party's direction under President Biden, they are even more opposed to Donald Trump's return to the White House. This creates a quandary for these voters as they consider Vice President Kamala Harris, who represents a more progressive wing of the Democratic Party. Some voters remain hesitant about Harris, citing concerns about her policies and leadership, while others are increasingly open to her candidacy, particularly after Trump's choice of running mate, JD Vance, who has been perceived as insensitive and extreme. This dynamic suggests that the suburban vote in Pennsylvania will be crucial, and that Harris' ability to win over these moderate Republicans will be key to her success in the election. 
","https://media.cnn.com/api/v1/images/stellar/prod/20241208-alloverthemap-pennsylvania-august.jpg?c=16x9&q=w_800,c_fill"
The 2024 campaign will now turn on whether Trump can blunt Harris’ soaring start,2024-08-12,politics,"Donald Trump's campaign is struggling to find a foothold against Vice President Kamala Harris's new presidential campaign, which has energized Democrats and made significant gains in the polls. Trump's early attacks on Harris, often relying on racial identity and insults, have backfired, highlighting his own vulnerabilities and emphasizing the fresh energy Harris brings to the race.  Harris's campaign has focused on presenting a positive alternative to Trump's divisive rhetoric and policies, appealing to voters who want a change. While Trump will likely try to shift the focus to economic issues, the race appears to be shifting in Harris's favor, and the upcoming debates will be crucial for both candidates. 
","https://media.cnn.com/api/v1/images/stellar/prod/20240721-02-harris-trump-split.jpg?c=16x9&q=w_800,c_fill"
Trump spreads false conspiracy theory about Harris’ Detroit crowd size,2024-08-12,politics,"Donald Trump falsely claimed that Vice President Kamala Harris used a fake crowd image at a recent Michigan rally, citing a conspiracy theory about an airport maintenance worker noticing the fabricated image. Trump called for Harris to be disqualified from the 2024 election, arguing that creating a fake crowd image is election interference. However, numerous photos and videos from the event show a large audience, and a digital forensics expert found no evidence of AI-generated images. Trump's claims were widely refuted by attendees and Harris staffers who shared their own photos and videos from the event. 
","https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2165259507-copy.jpg?c=16x9&q=w_800,c_fill"
"See where Trump and Harris stand in key states, according to new polling",2024-08-12,politics,"According to new polling data analyzed by CNN senior data reporter Harry Enten, Vice President Kamala Harris is gaining support in key states leading up to the 2024 presidential election. 
","https://media.cnn.com/api/v1/images/stellar/prod/5p-yt-image.jpg?c=16x9&q=w_800,c_fill"
Trump posts on X for first time in nearly a year ahead of conversation with Elon Musk,2024-08-12,politics,"Former President Donald Trump returned to X (formerly Twitter) for the first time in nearly a year, posting several videos attacking his political rivals and promoting his upcoming interview with Elon Musk. Among his posts were a video highlighting past comments made by Vice President Kamala Harris in support of progressive policies, a video featuring news coverage of the federal search of his Mar-a-Lago resort and his indictments, and a video promoting his campaign message of fighting ""the deep state"" and ""the fake news media."" Trump also asked his followers if they were ""better off now than you were when I was president,"" highlighting his message of restoring the ""American Dream.""
","https://media.cnn.com/api/v1/images/stellar/prod/c-gettyimages-2165907695.jpg?c=16x9&q=w_800,c_fill"
Putin vows to ‘kick enemy out of Russia’ as Ukraine’s cross-border incursion expands to dozens of villages,2024-08-12,europe,"In response to Ukrainian forces gaining control of dozens of Russian villages and a significant amount of territory, Russian President Vladimir Putin vowed to expel them. This surprise cross-border incursion, spanning 386 square miles, has prompted evacuations in border regions and sparked concern among Russian officials. The incursion is seen as a game-changer in the conflict, with Ukraine aiming to divert Russian resources and boost morale. While Russia has implemented counter-terrorist measures in affected regions, it has refrained from declaring war, potentially seeking to minimize domestic panic and unrest. 
","https://media.cnn.com/api/v1/images/stellar/prod/ap24224307361256.jpg?c=16x9&q=w_800,c_fill"
Putin vows to ‘kick enemy out of Russia’ as Ukraine’s cross-border incursion expands to dozens of villages,2024-08-12,europe,"A surprise Ukrainian incursion into Russian territory has resulted in Ukrainian control of dozens of villages and large swathes of land in the border regions of Kursk and Belgorod. Russian President Vladimir Putin, calling the incursion an attempt to improve Ukraine's negotiation position, vowed to ""kick the enemy out"" and ordered his security chiefs to expel the Ukrainian forces. The incursion has sparked widespread evacuations from the affected regions, with Moscow imposing a counter-terror operation in the border areas. While the extent of the Ukrainian operation remains unclear, the incident is seen as a significant development in the ongoing conflict, potentially diverting Russian resources and boosting Ukrainian morale. 
","https://media.cnn.com/api/v1/images/stellar/prod/ap24224307361256.jpg?c=16x9&q=w_800,c_fill"
